Datum,Typ,BTC,CHF Betrag,CHF Gebuehren,Notiz
2022-01-15,buy,0.01316,500,5.0,DCA Januar 2022
2022-02-15,buy,0.01429,500,5.0,DCA Februar 2022
2022-03-15,buy,0.0122,500,5.0,DCA März 2022
2022-04-15,buy,0.01316,500,5.0,DCA April 2022
2022-05-15,buy,0.03333,1000,10.0,Crash — Nachkauf
2022-06-15,buy,0.15,3000,30.0,Crash — Grosseinkauf
2022-07-15,buy,0.0381,800,8.0,DCA Juli 2022
2022-08-15,buy,0.03333,800,8.0,DCA August 2022
2022-09-15,buy,0.075,1500,15.0,Crash — Nachkauf
2022-10-15,buy,0.04,800,8.0,DCA Oktober 2022
2022-11-15,buy,0.3125,5000,50.0,FTX-Crash — Grosseinkauf
2022-12-15,buy,0.125,2000,20.0,DCA Dezember 2022
2023-01-15,buy,0.04706,800,8.0,DCA Januar 2023
2023-02-15,buy,0.03333,800,8.0,DCA Februar 2023
2023-03-15,buy,0.03704,1000,10.0,DCA März 2023
2023-06-15,buy,0.03704,1000,10.0,DCA Juni 2023
2023-09-15,buy,0.04,1000,10.0,DCA September 2023
2023-11-15,buy,0.03333,1200,12.0,DCA November 2023
2023-12-15,buy,0.02857,1200,12.0,DCA Dezember 2023
2024-01-15,buy,0.03659,1500,15.0,DCA Januar 2024
2024-02-15,buy,0.03,1500,15.0,DCA Februar 2024
2024-03-15,buy,0.03077,2000,20.0,Halving-Kauf
2024-04-15,buy,0.01724,1000,10.0,DCA April 2024
2024-06-15,buy,0.01667,1000,10.0,DCA Juni 2024
2024-08-15,buy,0.01786,1000,10.0,DCA August 2024
2024-10-15,buy,0.02344,1500,15.0,DCA Oktober 2024
2024-11-15,buy,0.00909,800,8.0,DCA November 2024
2024-12-01,sell,0.15789,15000,150.0,Teilgewinn nahe ATH
2024-12-15,buy,0.0086,800,8.0,DCA Dezember 2024
2025-01-15,buy,0.01,1000,10.0,DCA Januar 2025
2025-02-15,buy,0.01205,1000,10.0,DCA Februar 2025
2025-03-15,buy,0.016,1200,12.0,DCA März 2025
2025-04-15,buy,0.03226,2000,20.0,Korrektur — Nachkauf
2025-05-15,buy,0.01471,1000,10.0,DCA Mai 2025
2025-06-15,buy,0.01389,1000,10.0,DCA Juni 2025
2025-07-15,buy,0.01282,1000,10.0,DCA Juli 2025
2025-08-15,buy,0.0122,1000,10.0,DCA August 2025
2025-09-15,buy,0.01136,1000,10.0,DCA September 2025
2025-10-15,buy,0.01087,1000,10.0,DCA Oktober 2025
2025-11-15,buy,0.0102,1000,10.0,DCA November 2025
2025-12-15,buy,0.00952,1000,10.0,DCA Dezember 2025
2026-01-15,buy,0.0098,1000,10.0,DCA Januar 2026
2026-02-15,buy,0.01111,1000,10.0,DCA Februar 2026
2026-03-15,buy,0.01205,1000,10.0,DCA März 2026
2026-04-15,buy,0.03226,2000,20.0,Korrektur — Nachkauf
